epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4316.75,0.58754,0.37142,0.93168,0.96477,0.9746,0.96941,0.80609,0.74104,0.36202,0.91657,0.000410409,0.000410409,0.000410409
74,4386.78,0.58593,0.36184,0.92107,0.97177,0.9746,0.9732,0.80993,0.76051,0.34396,0.92351,0.000396262,0.000396262,0.000396262
75,4458.74,0.59966,0.36458,0.92281,0.97575,0.9746,0.97813,0.80753,0.76145,0.35396,0.91779,0.000382115,0.000382115,0.000382115
76,4522.88,0.57439,0.35482,0.91681,0.97386,0.9746,0.97752,0.80355,0.75678,0.36041,0.91811,0.000367967,0.000367967,0.000367967
77,4587.91,0.60472,0.37044,0.93125,0.97396,0.9746,0.97299,0.79987,0.76591,0.35266,0.92738,0.00035382,0.00035382,0.00035382
78,4650.77,0.58178,0.35805,0.92922,0.97504,0.9746,0.97363,0.80859,0.75757,0.35832,0.9342,0.000339673,0.000339673,0.000339673
79,4720.21,0.59555,0.37074,0.91128,0.98462,0.9746,0.9737,0.8116,0.75493,0.3663,0.9417,0.000325526,0.000325526,0.000325526
80,4790.55,0.60391,0.35519,0.94075,0.98317,0.9746,0.96994,0.80626,0.75965,0.36793,0.92668,0.000311379,0.000311379,0.000311379
81,4856.55,0.58516,0.34694,0.93219,0.97867,0.9746,0.96861,0.78655,0.75818,0.36969,0.92503,0.000297232,0.000297232,0.000297232
82,4926.25,0.58256,0.36715,0.91877,0.97259,0.9746,0.97067,0.80306,0.75769,0.35148,0.95276,0.000283085,0.000283085,0.000283085
83,4993.82,0.60541,0.35715,0.93247,0.97956,0.9746,0.97393,0.8082,0.75423,0.34491,0.94997,0.000268938,0.000268938,0.000268938
84,5060.15,0.58521,0.35861,0.93628,0.98251,0.9746,0.97122,0.80743,0.75926,0.33987,0.93605,0.000254791,0.000254791,0.000254791
85,5129.77,0.56182,0.34891,0.91209,0.98511,0.9746,0.97541,0.81176,0.74534,0.33333,0.91912,0.000240644,0.000240644,0.000240644
86,5198.49,0.5793,0.33508,0.91856,0.98443,0.9746,0.9751,0.81298,0.74781,0.34436,0.92492,0.000226497,0.000226497,0.000226497
87,5263,0.58578,0.34557,0.9304,0.98606,0.9746,0.97609,0.81604,0.74441,0.3423,0.92016,0.000212349,0.000212349,0.000212349
88,5320.43,0.59194,0.34218,0.93074,0.98467,0.9746,0.97558,0.80006,0.75047,0.35237,0.92018,0.000198202,0.000198202,0.000198202
89,5371.8,0.57749,0.34388,0.93053,0.98594,0.9746,0.97545,0.79351,0.74255,0.34575,0.91478,0.000184055,0.000184055,0.000184055
90,5424.13,0.56065,0.33814,0.90853,0.98668,0.9746,0.97458,0.81023,0.74177,0.33265,0.91578,0.000169908,0.000169908,0.000169908
91,5484.46,0.53594,0.30488,0.89462,0.97683,0.9746,0.97313,0.78413,0.75501,0.34728,0.92664,0.000155761,0.000155761,0.000155761
92,5544.13,0.54166,0.29503,0.89941,0.97326,0.97338,0.97636,0.78568,0.75086,0.34592,0.93631,0.000141614,0.000141614,0.000141614
93,5599.74,0.55367,0.29842,0.90089,0.97653,0.9746,0.97348,0.80578,0.76345,0.34414,0.93427,0.000127467,0.000127467,0.000127467
94,5655.12,0.55047,0.29381,0.88702,0.9817,0.9746,0.97315,0.81484,0.75415,0.34743,0.9297,0.00011332,0.00011332,0.00011332
95,5710.06,0.52984,0.28757,0.88992,0.98102,0.9746,0.97141,0.80795,0.7455,0.34133,0.92155,9.91726e-05,9.91726e-05,9.91726e-05
96,5765.84,0.52651,0.28144,0.87777,0.98423,0.9746,0.97024,0.80332,0.75365,0.34453,0.93442,8.50255e-05,8.50255e-05,8.50255e-05
97,5821.05,0.52728,0.28232,0.87484,0.98637,0.9746,0.97061,0.8002,0.75145,0.34367,0.93786,7.08784e-05,7.08784e-05,7.08784e-05
98,5872.16,0.52287,0.27377,0.88892,0.98645,0.9746,0.97098,0.79559,0.75571,0.34267,0.94433,5.67313e-05,5.67313e-05,5.67313e-05
99,5922.3,0.52536,0.27967,0.88414,0.98666,0.9746,0.97118,0.79313,0.75549,0.33971,0.94187,4.25842e-05,4.25842e-05,4.25842e-05
100,5972.5,0.51247,0.27888,0.86923,0.98649,0.9746,0.97068,0.7912,0.75707,0.33632,0.9428,2.84371e-05,2.84371e-05,2.84371e-05
